NUTS_ID,CROP_NAME,VARIABLE,AVG_VALUE,YEAR_MIN,YEAR_MAX,YEAR_COUNT,UNIT,SOURCE,LATITUDE,LONGITUDE
AT11,Total wheat,Area,44493.28352941176,2006,2022,17,ha,NSI,47.23607559200008,16.287376375000065
AT12,Total wheat,Area,179513.84411764707,2006,2022,17,ha,NSI,48.25887966800008,15.760103308000055
AT13,Total wheat,Area,1412.8664705882352,2006,2022,17,ha,NSI,48.20277454100005,16.393215114000043
AT21,Total wheat,Area,2996.106875,2007,2022,16,ha,NSI,46.716091136000045,14.462861124000028
AT22,Total wheat,Area,6873.790588235294,2006,2022,17,ha,NSI,47.18181399300005,15.52470687500005
AT31,Total wheat,Area,48374.446470588235,2006,2022,17,ha,NSI,48.143015208000065,13.950301256000046
AT32,Total wheat,Area,254.05999999999997,2008,2022,12,ha,NSI,47.282274201000064,13.000196795000022
AT33,Total wheat,Area,121.320625,2007,2022,16,ha,NSI,47.180935247000036,10.763511226000048
AT34,Total wheat,Area,9.27,2008,2022,13,ha,NSI,47.236601214000075,9.885115430000042
BE10,Total wheat,Area,346.0,2006,2016,10,ha,Mixed,50.840051206000055,4.356929018000073
BE21,Total wheat,Area,1439.6470588235295,2006,2022,17,ha,Mixed,51.22122368500004,4.724505922000048
BE22,Total wheat,Area,8815.0,2006,2022,17,ha,Mixed,50.98167502000007,5.412069092000024
BE23,Total wheat,Area,12785.0,2006,2022,17,ha,Mixed,51.03164618900007,3.809139973000072
BE24,Total wheat,Area,17724.647058823528,2006,2022,17,ha,Mixed,50.87369647100007,4.572486175000051
BE25,Total wheat,Area,26260.29411764706,2006,2022,17,ha,Mixed,51.01778623300004,3.051667941000062
BE31,Total wheat,Area,20744.29411764706,2006,2022,17,ha,Mixed,50.66591500100003,4.59226239700007
BE32,Total wheat,Area,54218.58823529412,2006,2022,17,ha,Mixed,50.52547120200006,3.916978250000057
BE33,Total wheat,Area,24455.647058823528,2006,2022,17,ha,Mixed,50.520304870000075,5.731036154000037
BE34,Total wheat,Area,4505.470588235294,2006,2022,17,ha,Mixed,49.956790666000074,5.521065669000052
BE35,Total wheat,Area,32286.647058823528,2006,2022,17,ha,Mixed,50.27364334600003,4.867007200000046
BG31,Total wheat,Area,239466.0625,2006,2021,16,ha,NSI,43.42009425300006,23.876275132000046
BG32,Total wheat,Area,233298.6875,2006,2021,16,ha,NSI,43.22229867900006,25.593005066000046
BG33,Total wheat,Area,287548.75,2006,2021,16,ha,NSI,43.36483347600006,27.35116520300005
BG34,Total wheat,Area,234997.25,2006,2021,16,ha,NSI,42.47985229200003,26.553411965000066
BG41,Total wheat,Area,66721.0,2006,2021,16,ha,NSI,42.32353712200006,23.33565629800006
BG42,Total wheat,Area,115193.75,2006,2021,16,ha,NSI,41.742121878000034,25.166902251000067
CY,Total wheat,Area,9202.105263157895,2006,2024,19,ha,Eurostat,35.028353010000046,33.173903437000035
CZ010,Total wheat,Area,4092.2766666666666,2006,2020,15,ha,NSI,50.066265015000056,14.462998193000033
