NUTS_ID,CROP_NAME,VARIABLE,AVG_VALUE,YEAR_MIN,YEAR_MAX,YEAR_COUNT,UNIT,SOURCE
CZ020,Total wheat,Yield,5.712,2006,2020,15,t/ha,NSI
CZ031,Total wheat,Area,78927.48533333333,2006,2020,15,ha,NSI
CZ031,Total wheat,Production,423023.34133333334,2006,2020,15,t,NSI
CZ031,Total wheat,Yield,5.360666666666666,2006,2020,15,t/ha,NSI
CZ032,Total wheat,Area,61813.488,2006,2020,15,ha,NSI
CZ032,Total wheat,Production,333132.0246666667,2006,2020,15,t,NSI
CZ032,Total wheat,Yield,5.405333333333333,2006,2020,15,t/ha,NSI
CZ041,Total wheat,Area,11796.03,2006,2020,15,ha,NSI
CZ041,Total wheat,Production,63469.41533333333,2006,2020,15,t,NSI
CZ041,Total wheat,Yield,5.404,2006,2020,15,t/ha,NSI
CZ042,Total wheat,Area,64996.130666666664,2006,2020,15,ha,NSI
CZ042,Total wheat,Production,372861.6693333333,2006,2020,15,t,NSI
CZ042,Total wheat,Yield,5.734666666666667,2006,2020,15,t/ha,NSI
CZ051,Total wheat,Area,12238.021999999999,2006,2020,15,ha,NSI
CZ051,Total wheat,Production,65532.28666666667,2006,2020,15,t,NSI
CZ051,Total wheat,Yield,5.360666666666666,2006,2020,15,t/ha,Mixed
CZ052,Total wheat,Area,55689.94066666667,2006,2020,15,ha,NSI
CZ052,Total wheat,Production,319177.7593333333,2006,2020,15,t,NSI
CZ052,Total wheat,Yield,5.720666666666667,2006,2020,15,t/ha,NSI
CZ053,Total wheat,Area,51222.66333333333,2006,2020,15,ha,NSI
CZ053,Total wheat,Production,287696.0653333334,2006,2020,15,t,NSI
CZ053,Total wheat,Yield,5.593999999999999,2006,2020,15,t/ha,NSI
CZ063,Total wheat,Area,71149.382,2006,2020,15,ha,NSI
CZ063,Total wheat,Production,382797.336,2006,2020,15,t,NSI
CZ063,Total wheat,Yield,5.355333333333333,2006,2020,15,t/ha,NSI
CZ064,Total wheat,Area,114151.20733333332,2006,2020,15,ha,NSI
CZ064,Total wheat,Production,607128.354,2006,2020,15,t,NSI
CZ064,Total wheat,Yield,5.318666666666667,2006,2020,15,t/ha,NSI
CZ071,Total wheat,Area,52357.566,2006,2020,15,ha,NSI
CZ071,Total wheat,Production,308530.00800000003,2006,2020,15,t,NSI
CZ071,Total wheat,Yield,5.8886666666666665,2006,2020,15,t/ha,NSI
CZ072,Total wheat,Area,33640.75466666667,2006,2020,15,ha,NSI
CZ072,Total wheat,Production,190823.08399999997,2006,2020,15,t,NSI
CZ072,Total wheat,Yield,5.658666666666666,2006,2020,15,t/ha,NSI
CZ080,Total wheat,Area,39335.194,2006,2020,15,ha,NSI
CZ080,Total wheat,Production,215858.01733333332,2006,2020,15,t,NSI
CZ080,Total wheat,Yield,5.472666666666667,2006,2020,15,t/ha,NSI
DE111,Total wheat,Area,435.75,2007,2020,4,ha,NSI
DE112,Total wheat,Area,4867.0,2007,2020,4,ha,NSI
DE113,Total wheat,Area,2909.25,2007,2020,4,ha,NSI
DE114,Total wheat,Area,3196.5,2007,2020,4,ha,NSI
DE115,Total wheat,Area,8195.0,2007,2020,4,ha,NSI
DE116,Total wheat,Area,3037.5,2007,2020,4,ha,NSI
DE117,Total wheat,Area,1029.25,2007,2020,4,ha,NSI
DE118,Total wheat,Area,13879.25,2007,2020,4,ha,NSI
DE119,Total wheat,Area,9972.5,2007,2020,4,ha,NSI
DE11A,Total wheat,Area,14315.25,2007,2020,4,ha,NSI
DE11B,Total wheat,Area,19617.5,2007,2020,4,ha,NSI
DE11C,Total wheat,Area,5603.75,2007,2020,4,ha,NSI
DE11D,Total wheat,Area,8971.25,2007,2020,4,ha,NSI
DE121,Total wheat,Area,63.666666666666664,2007,2016,3,ha,NSI
DE122,Total wheat,Area,385.75,2007,2020,4,ha,NSI
DE123,Total wheat,Area,7993.5,2007,2020,4,ha,NSI
DE124,Total wheat,Area,1625.25,2007,2020,4,ha,NSI
DE125,Total wheat,Area,384.75,2007,2020,4,ha,NSI
DE126,Total wheat,Area,685.5,2007,2020,4,ha,NSI
DE127,Total wheat,Area,11800.0,2007,2020,4,ha,NSI
DE128,Total wheat,Area,9205.0,2007,2020,4,ha,NSI
DE129,Total wheat,Area,145.0,2007,2016,3,ha,NSI
DE12A,Total wheat,Area,2162.0,2007,2020,4,ha,NSI
DE12B,Total wheat,Area,3780.25,2007,2020,4,ha,NSI
DE12C,Total wheat,Area,2651.5,2007,2020,4,ha,NSI
DE131,Total wheat,Area,195.25,2007,2020,4,ha,NSI
