10.1016/bs.agron.2017.11.005
10.1007/s11104-018-3619-4
10.1088/1748-9326/aa67bd
10.1007/s11056-015-9491-7
10.1007/s11368-018-2120-2
10.1002/agj2.20125
10.1016/j.agsy.2021.103095
10.1590/18069657rbcs20170025
10.1016/j.chemosphere.2021.130345
10.1038/s41598-022-24055-2
10.3390/plants11131690
10.1016/j.jclepro.2019.118928
10.1080/00380768.2019.1683890
10.1016/j.fcr.2019.02.010
10.1016/j.fcr.2016.12.002
10.1016/j.agee.2012.10.009
10.1016/j.scitotenv.2022.160774
10.1016/j.agwat.2022.107746
10.1007/s11269-022-03278-y
10.1016/j.agwat.2021.107321
10.1016/j.agwat.2022.107645
10.3390/agronomy12102305
10.1016/j.agwat.2021.107105
10.1016/j.agwat.2021.106771
10.1016/j.agwat.2021.107027
10.1016/j.agwat.2021.106986
10.1038/s41598-021-01433-w
10.1007/s11356-020-08322-1
10.1016/j.agwat.2019.105906
10.1016/j.agwat.2019.06.008
10.1016/j.agwat.2017.11.019
10.1016/j.agwat.2018.08.035
10.1016/j.agwat.2018.07.038
10.1038/s41598-018-32964-4
