10.1007/s13593-019-0589-8
10.1007/s13593-018-0533-3
10.1016/j.ecolecon.2017.04.019
10.1016/j.agee.2016.06.002
10.1016/j.jaridenv.2016.03.002
10.1016/j.jaridenv.2011.10.011
10.1007/978-94-007-0394-0_9
10.1111/gcb.15001
10.1038/s43016-020-0114-x
10.1038/s41893-020-0500-2
10.1038/nature13809
10.3390/ijerph19127324
10.1007/s13593-022-00766-8
10.3390/land11050645
10.1111/gcb.15796
10.1371/journal.pone.0231740
10.1002/ldr.3492
10.1007/s10705-017-9903-5
10.1016/j.fcr.2018.08.001
10.1016/j.agee.2018.07.019
10.1111/gcb.14466
10.1016/j.agwat.2021.107128
10.1016/j.agwat.2020.106119
10.2135/cropsci2017.02.0079
10.2136/sssaj2017.07.0245
10.1016/j.fcr.2019.107659
10.1016/j.agee.2017.10.008
10.3390/su9071201
10.1111/gcb.13918
10.2134/agronj2016.04.0200
10.1111/gcb.13455
10.1016/j.agee.2016.01.044
10.1016/j.agee.2016.06.038
10.1016/j.fcr.2016.04.023
