IDREGION;CROP_NAME;VARIABLE;YEAR;VALUE;SOURCE;CALCULATED_REGION;CALCULATED_CROP;CALCULATED_VALUE;COHERENCE_A_P_Y;ZERO_SET_AS_NULL;COHERENCE_CROP;UNIT
AT11;Total wheat;Area;2006;43661.78;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2007;46316.62;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2008;45246.24;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2009;47063.83;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2010;46892.83;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2011;45818.57;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2012;48980.35;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2013;45575.37;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2014;46801.3;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2015;44519.48;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2016;47088.2;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2017;42951.71;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2018;43524.38;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2019;41733.54;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2020;40620.67;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2021;39722.32;NSI;;;Yes;Yes;;Yes;ha
AT11;Total wheat;Area;2022;39868.63;NSI;;;Yes;Yes;;Yes;ha
ES411;Total wheat;Area;2006;19525.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2007;21537.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2008;27187.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2009;20102.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2010;30499.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2011;34687.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2012;32889.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Area;2013;34120.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Area;2014;38869.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Area;2015;39214.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2016;38921.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Area;2017;35880.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Area;2018;34914.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Area;2019;33257.0;NSI;;;;Yes;;;ha
ES411;Total wheat;Area;2020;33504.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Area;2021;36833.0;NSI;;;;Yes;;Yes;ha
ES411;Total wheat;Production;2006;20539.0;NSI;;;;Yes;;;t
ES411;Total wheat;Production;2007;76038.0;NSI;;;;Yes;;;t
ES411;Total wheat;Production;2008;105413.0;NSI;;;;Yes;;;t
ES411;Total wheat;Production;2009;24015.0;NSI;;;;Yes;;;t
ES411;Total wheat;Production;2010;79060.16;NSI;;;;Yes;;;t
ES411;Total wheat;Production;2011;122892.26;NSI;;;;Yes;;;t
ES411;Total wheat;Production;2012;73610.74;NSI;;;;Yes;;Yes;t
ES411;Total wheat;Production;2013;106993.15;NSI;;;;Yes;;Yes;t
IE04;Total wheat;Area;2006;1191.0;Eurostat;;;Yes;;;Yes;ha
IE04;Total wheat;Area;2007;1261.0;Eurostat;;;Yes;;;Yes;ha
IE04;Total wheat;Area;2008;1847.0;Eurostat;;;Yes;;;Yes;ha
IE04;Total wheat;Area;2009;1434.0;Eurostat;;;Yes;;;Yes;ha
IE04;Total wheat;Area;2010;1345.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2011;1698.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2012;1663.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2013;460.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2014;700.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2015;660.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2016;760.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2017;730.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2018;480.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2019;820.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2020;580.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2021;580.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2022;670.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Area;2023;640.0;Eurostat;;;Yes;Yes;;Yes;ha
IE04;Total wheat;Production;2010;11865.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2011;16771.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2012;11883.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2013;5630.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2014;6630.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2015;6530.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2016;6420.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2017;7370.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2018;4690.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2019;8040.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2020;4800.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2021;4990.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2022;6030.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Production;2023;6040.0;Eurostat;;;Yes;Yes;;Yes;t
IE04;Total wheat;Yield;2010;8.82;Eurostat;;;Yes;Yes;;No;t/ha
IE04;Total wheat;Yield;2011;9.88;Eurostat;;;Yes;Yes;;No;t/ha
IE04;Total wheat;Yield;2012;7.15;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2013;12.24;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2014;9.47;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2015;9.89;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2016;8.45;Eurostat;;;Yes;Yes;;Yes;t/ha
BE10;Total wheat;Area;2006;100.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2007;100.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2008;100.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2009;100.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2010;100.0;Mixed;;;Yes;;;Yes;ha
BE10;Total wheat;Area;2012;400.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2013;600.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2014;640.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2015;650.0;Mixed;;;Yes;Yes;;Yes;ha
BE10;Total wheat;Area;2016;670.0;Mixed;;;Yes;Yes;;Yes;ha
BG31;Total wheat;Area;2006;110667.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2007;117915.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2008;222833.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2009;289705.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2010;233233.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2011;241045.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2012;241148.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2013;276029.0;NSI;;;;Yes;;Yes;ha
BG31;Total wheat;Area;2014;274290.0;NSI;;;;Yes;;Yes;ha
BG31;Total wheat;Area;2015;244691.0;NSI;;;;No;;;ha
BG31;Total wheat;Area;2016;268267.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2017;247032.0;NSI;;;;No;;;ha
BG31;Total wheat;Area;2018;263543.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2019;260222.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2020;264042.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Area;2021;276795.0;NSI;;;;Yes;;;ha
BG31;Total wheat;Production;2006;326356.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2007;174602.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2008;900870.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2009;984793.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2010;873242.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2011;942617.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2012;903509.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2013;1167020.0;NSI;;;;Yes;;Yes;t
BG31;Total wheat;Production;2014;1228836.0;NSI;;;;Yes;;Yes;t
BG31;Total wheat;Production;2015;1104888.0;NSI;;;;No;;;t
BG31;Total wheat;Production;2016;1253680.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2017;1355337.0;NSI;;;;No;;;t
BG31;Total wheat;Production;2018;1329857.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2019;1436218.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2020;1379560.0;NSI;;;;Yes;;;t
BG31;Total wheat;Production;2021;1762886.0;NSI;;;;Yes;;;t
HU311;Total wheat;Area;2006;68814.0;NSI;;;;Yes;;;ha
HU311;Total wheat;Area;2007;67660.0;NSI;;;;Yes;;;ha
HU311;Total wheat;Area;2008;72158.0;NSI;;;;Yes;;;ha
HU311;Total wheat;Area;2009;66488.0;NSI;;;;Yes;;Yes;ha
HU311;Total wheat;Area;2010;57076.0;NSI;;;;Yes;;Yes;ha
HU311;Total wheat;Area;2011;59880.0;NSI;;;;Yes;;Yes;ha
HU311;Total wheat;Area;2012;68832.0;NSI;;;;Yes;;Yes;ha
HU311;Total wheat;Area;2013;66730.0;NSI;;;;Yes;;Yes;ha
HU311;Total wheat;Area;2014;67529.0;NSI;;;;Yes;;Yes;ha
HU311;Total wheat;Area;2015;67568.0;NSI;;;;Yes;;Yes;ha
HU311;Total wheat;Area;2016;64873.0;NSI;;;Yes;Yes;;Yes;ha
HU311;Total wheat;Area;2017;59242.0;NSI;;;Yes;Yes;;Yes;ha
HU311;Total wheat;Area;2018;65422.0;NSI;;;Yes;Yes;;Yes;ha
HU311;Total wheat;Area;2019;64996.0;NSI;;;Yes;Yes;;Yes;ha
HU311;Total wheat;Area;2020;61866.0;NSI;;;Yes;Yes;;Yes;ha
HU311;Total wheat;Area;2021;52225.0;NSI;;;Yes;Yes;;Yes;ha
HU311;Total wheat;Area;2022;66059.0;NSI;;;Yes;Yes;;Yes;ha
HU311;Total wheat;Production;2006;257760.0;NSI;;;;Yes;;;t
HU311;Total wheat;Production;2007;222198.0;NSI;;;;Yes;;;t
HU311;Total wheat;Production;2008;342442.0;NSI;;;;Yes;;;t
HU311;Total wheat;Production;2009;259636.0;NSI;;;;Yes;;Yes;t
HU311;Total wheat;Production;2010;216606.0;NSI;;;;Yes;;Yes;t
HU311;Total wheat;Production;2011;246741.0;NSI;;;;Yes;;Yes;t
HU311;Total wheat;Production;2012;253780.0;NSI;;;;Yes;;Yes;t
HU311;Total wheat;Production;2013;293227.0;NSI;;;;Yes;;Yes;t
HU311;Total wheat;Production;2014;323805.0;NSI;;;;Yes;;Yes;t
HU311;Total wheat;Production;2015;336529.0;NSI;;;;Yes;;Yes;t
HU311;Total wheat;Production;2016;356691.0;NSI;;;Yes;Yes;;Yes;t
HU311;Total wheat;Production;2017;330552.0;NSI;;;Yes;Yes;;Yes;t
HU311;Total wheat;Production;2018;328814.0;NSI;;;Yes;Yes;;Yes;t
HU311;Total wheat;Production;2019;349525.0;NSI;;;Yes;Yes;;Yes;t
HU311;Total wheat;Production;2020;333040.0;NSI;;;Yes;Yes;;Yes;t
HU311;Total wheat;Production;2021;299453.0;NSI;;;Yes;Yes;;Yes;t
HU311;Total wheat;Production;2022;292990.0;NSI;;;Yes;Yes;;Yes;t
HU311;Total wheat;Yield;2006;3.75;NSI;;;Yes;Yes;;;t/ha
HU311;Total wheat;Yield;2007;3.28;NSI;;;Yes;Yes;;;t/ha
HU311;Total wheat;Yield;2008;4.75;NSI;;;Yes;Yes;;;t/ha
HU311;Total wheat;Yield;2009;3.91;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2010;3.8;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2011;4.12;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2012;3.69;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2013;4.39;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2014;4.8;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2015;4.98;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2016;5.5;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2017;5.58;NSI;;;Yes;Yes;;No;t/ha
HU311;Total wheat;Yield;2018;5.03;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2019;5.38;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2020;5.38;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2021;5.73;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2022;4.44;NSI;;;Yes;Yes;;Yes;t/ha
EL624;Total wheat;Area;2006;4.6;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2007;4.1;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2008;3.0;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2009;3.1;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2010;2.5;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2011;2.5;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2012;5.2;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2013;6.0;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2014;5.6;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2015;5.7;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2016;6.0;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2017;5.0;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2018;4.1;NSI;;;Yes;Yes;;Yes;ha
EL624;Total wheat;Area;2019;4.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2006;140898.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2007;140705.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2008;142496.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2009;138953.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2010;137499.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2011;144343.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2012;139830.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2013;142325.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2014;140350.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2015;142470.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2016;144590.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2017;137185.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2018;131870.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2019;134650.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2020;116310.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2021;133795.0;NSI;;;Yes;Yes;;Yes;ha
FR102;Total wheat;Area;2022;123375.0;NSI;;;Yes;Yes;;Yes;ha
FI193;Total wheat;Area;2006;1800.0;NSI;;;;No;;No;ha
FI193;Total wheat;Area;2007;1800.0;NSI;;;;No;;No;ha
FI193;Total wheat;Area;2008;1900.0;NSI;;;;No;;Yes;ha
FI193;Total wheat;Area;2009;1800.0;NSI;;;;Yes;;Yes;ha
FI193;Total wheat;Area;2010;1800.0;NSI;;;;Yes;;Yes;ha
FI193;Total wheat;Area;2011;2100.0;NSI;;;;No;;Yes;ha
FI193;Total wheat;Area;2012;1800.0;NSI;;;;Yes;;Yes;ha
FI193;Total wheat;Area;2013;2100.0;NSI;;;;Yes;;Yes;ha
FI193;Total wheat;Area;2014;2500.0;NSI;;;;Yes;;Yes;ha
FI193;Total wheat;Area;2015;2200.0;NSI;;;;Yes;;Yes;ha
FI193;Total wheat;Area;2016;1600.0;NSI;;;;No;;Yes;ha
FI193;Total wheat;Area;2017;1100.0;Mixed;;;Yes;Yes;;Yes;ha
FI193;Total wheat;Area;2018;1300.0;Mixed;;;Yes;Yes;;Yes;ha
FI193;Total wheat;Area;2019;1900.0;Mixed;;;Yes;Yes;;Yes;ha
FI193;Total wheat;Area;2020;1500.0;Mixed;;;Yes;Yes;;Yes;ha
FI193;Total wheat;Production;2006;5000.0;NSI;;;;No;;Yes;t
FI193;Total wheat;Production;2007;5900.0;NSI;;;;No;;Yes;t
FI193;Total wheat;Production;2008;6100.0;NSI;;;;No;;Yes;t
FI193;Total wheat;Production;2009;6100.0;NSI;;;;Yes;;Yes;t
FI193;Total wheat;Production;2010;4600.0;NSI;;;;Yes;;Yes;t
FI193;Total wheat;Production;2011;6600.0;NSI;;;;No;;No;t
FI193;Total wheat;Production;2012;4800.0;Mixed;;;Yes;Yes;;Yes;t
FI193;Total wheat;Production;2013;7400.0;NSI;;;;Yes;;No;t
FI193;Total wheat;Production;2014;7300.0;NSI;;;;Yes;;Yes;t
FI193;Total wheat;Production;2015;7400.0;NSI;;;;Yes;;Yes;t
FI193;Total wheat;Production;2016;4800.0;NSI;;;;No;;Yes;t
FI193;Total wheat;Production;2017;3200.0;Mixed;;;Yes;Yes;;Yes;t
FI193;Total wheat;Production;2018;4300.0;Mixed;;;Yes;Yes;;Yes;t
FI193;Total wheat;Production;2019;7200.0;Mixed;;;Yes;Yes;;Yes;t
FI193;Total wheat;Production;2020;4800.0;Mixed;;;Yes;Yes;;Yes;t
FI193;Total wheat;Yield;2006;2.86;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2007;3.19;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2008;3.15;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2009;3.41;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2010;2.54;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2011;3.19;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2012;2.67;Mixed;;;Yes;Yes;;No;t/ha
FI193;Total wheat;Yield;2013;3.53;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2014;2.94;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2015;3.36;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2016;2.96;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2017;2.91;Mixed;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2018;3.31;Mixed;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2019;3.79;Mixed;;;Yes;Yes;;Yes;t/ha
PL21;Total wheat;Area;2006;102807.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2007;102848.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2008;111462.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2009;111231.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2010;86633.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2011;100529.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2012;90957.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2013;87933.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2014;89839.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2015;94774.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2016;91662.0;Mixed;;;Yes;Yes;;Yes;ha
PL21;Total wheat;Area;2017;91928.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2018;96722.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2019;103091.0;NSI;;;;Yes;;Yes;ha
PL21;Total wheat;Area;2020;101600.0;Mixed;;;Yes;Yes;;Yes;ha
PL21;Total wheat;Area;2021;90210.0;NSI;;;;Yes;;;ha
PL21;Total wheat;Area;2022;98687.0;NSI;;;;Yes;;;ha
PL21;Total wheat;Production;2006;256996.4;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2007;342578.1;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2008;388530.4;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2009;363842.2;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2010;276883.3;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2011;353389.8;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2012;328785.4;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2013;295959.7;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2014;350449.8;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2015;339254.3;NSI;;;;Yes;;Yes;t
PL21;Total wheat;Production;2016;361039.3;Mixed;;;Yes;Yes;;Yes;t
ITC11;Total wheat;Area;2006;17370.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2007;21874.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2008;24050.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2009;23866.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2010;21478.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2011;22518.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2012;18629.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2013;18387.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2014;17594.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2015;18004.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2016;19700.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2017;18964.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2018;17549.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2019;14946.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2020;15401.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2021;16856.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Area;2022;16395.0;NSI;;;Yes;Yes;;Yes;ha
ITC11;Total wheat;Production;2006;121455.0;NSI;;;Yes;Yes;;Yes;t
ITC11;Total wheat;Production;2007;135539.1;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Area;2006;44200.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2007;43000.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2008;45600.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2009;42700.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2010;47300.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2011;46300.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2012;48200.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2013;48800.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2014;48250.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2015;49560.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2016;54665.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2017;50220.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2018;48660.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2019;49859.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2020;47370.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2021;49600.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2022;44708.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Area;2023;49570.0;NSI;;;Yes;Yes;;Yes;ha
FRK11;Total wheat;Production;2006;265200.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2007;219300.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2008;255360.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2009;290360.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2010;307450.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2011;245390.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2012;313300.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2013;312320.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2014;312925.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2015;306760.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2016;284210.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2017;303505.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2018;291630.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2019;283922.8;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2020;236458.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2021;287303.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2022;205601.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Production;2023;296886.0;NSI;;;Yes;Yes;;Yes;t
FRK11;Total wheat;Yield;2006;6.0;NSI;;;Yes;Yes;;Yes;t/ha
FRK11;Total wheat;Yield;2007;5.1;NSI;;;Yes;Yes;;Yes;t/ha
FRK11;Total wheat;Yield;2008;5.6;NSI;;;Yes;Yes;;Yes;t/ha
