,lon,lat,precip_additive,precip_mean
120,-8.717181,28.450416,524.5003,27.60527895
121,-8.39956,28.450416,526.7004,27.72107368
122,-8.081939,28.450416,508.2003,26.74738421
123,-7.764318,28.450416,432.8002,22.77895789
124,-7.446697,28.450416,340.50012,17.92105895
125,-7.129076,28.450416,316.2,16.64210526
126,-6.811455,28.450416,324.90018,17.10000947
127,-6.493834,28.450416,316.40005,16.65263421
128,-6.176213,28.450416,328.40027,17.28422474
129,24.633024,28.450416,78.80001,4.147368947
130,24.950645,28.450416,70.99998,3.736841053
131,25.268266,28.450416,67.69999,3.563157368
132,25.585887,28.450416,71.499985,3.763157105
133,25.903508,28.450416,73.19998,3.852630526
134,26.221129,28.450416,71.199974,3.747367053
135,26.53875,28.450416,69.09998,3.636841053
136,26.856371,28.450416,73.59997,3.873682632
137,27.173992,28.450416,79.89998,4.205262105
138,27.491613,28.450416,85.09999,4.478946842
139,27.809234,28.450416,92.99996,4.894734737
140,28.126855,28.450416,93.29998,4.910525263
141,28.444476,28.450416,87.09998,4.584209474
142,28.762097,28.450416,73.49997,3.868419474
143,29.079718,28.450416,64.09999,3.373683684
144,29.397339,28.450416,51.59999,2.715788947
145,29.71496,28.450416,49.89999,2.626315263
146,30.032581,28.450416,50.09999,2.636841579
147,30.350202,28.450416,48.29999,2.542104737
148,30.667823,28.450416,50.099983,2.636841211
149,30.985444,28.450416,66.29999,3.489473158
150,31.303065,28.450416,83.40001,4.389474211
151,31.620686,28.450416,103.699974,5.457893368
152,31.938307,28.450416,131.40001,6.91579
153,32.255928,28.450416,152.30003,8.015791053
154,32.573549,28.450416,131.59996,6.926313684
155,32.89117,28.450416,135.59996,7.13684
156,33.208791,28.450416,163.50006,8.605266316
157,33.526412,28.450416,186.70006,9.826318947
158,33.844033,28.450416,213.00009,11.21053105
159,34.161654,28.450416,248.70013,13.08948053
160,34.479275,28.450416,269.00012,14.15790105
161,-10.940528,28.768037,1254.392,66.02063158
162,-10.622907,28.768037,1345.5928,70.82067368
163,-10.305286,28.768037,1337.9934,70.42070526
164,-9.987665,28.768037,1137.1959,59.85241579
165,-9.670044,28.768037,935.7979,49.25252105
166,-9.352423,28.768037,715.89935,37.67891316
